"SiteID","wsArea","pctSili","pctBasa","pctGran","pctCarb","majGeol","elev"
808,4.05960000000009,0,1,0,0,"basaltic",581.767517089844
809,4.63049999999961,0,1,0,0,"basaltic",507.609008789062
810,5.34490000000009,0,1,0,0,"basaltic",437.590911865234
811,5.55620000000009,0,0.994442926714628,0.00555707328537186,0,"basaltic",390.403991699219
812,5.82790000000009,0,0.968687757365575,0.0313122426344252,0,"basaltic",361.043701171875
813,5.95469999999961,0,0.94806041969384,0.0519395803061597,0,"basaltic",332.519195556641
814,0.939900000000254,0,0.0648138496602928,0.935186150339707,0,"granitic",335.981903076172
815,1.10920000000014,0,0.0549211479406175,0.945078852059383,0,"granitic",295.301513671875
816,1.65510000000025,0,0.0368065599031582,0.963193440096842,0,"granitic",263.840301513672
817,0.746900000000366,0,0,1,0,"granitic",418.597503662109
818,3.0673999999999,0,0,1,0,"granitic",381.924194335938
819,1.40300000000013,0,0.0834229034105789,0.916577096589421,0,"granitic",605.474304199219
820,1.97569999999996,0,0.0592409442147487,0.940759055785251,0,"granitic",539.546997070312
821,2.02839999999996,0,0.0577018011659803,0.94229819883402,0,"granitic",499.66650390625
822,1.18579999999997,0,1,0,0,"basaltic",847.3076171875
823,1.43880000000057,0,1,0,0,"basaltic",770.261291503906
824,1.71150000000057,0,1,0,0,"basaltic",681.25732421875
825,1.02719999999964,0,0,1,0,"granitic",484.670104980469
826,1.21839999999964,0,0,1,0,"granitic",445.239288330078
827,1.48269999999917,0,0,1,0,"granitic",418.734100341797
828,0.801299999999733,0,1,0,0,"basaltic",708.464294433594
829,0.865299999999733,0,0.999999873660318,1.26339681866319e-07,0,"basaltic",575.153381347656
830,7.7257000000006,0,0.920751281739972,0.0792487182600284,0,"basaltic",517.942993164062
831,7.8356000000006,0,0.918906860365041,0.0810931396349588,0,"basaltic",450.734893798828
832,11.5214000000006,0,0.837705308449811,0.16229469155019,0,"basaltic",421.354614257812
833,12.0339000000006,0,0.838763343973412,0.161236656026588,0,"basaltic",390.549713134766
834,13.2951000000006,0,0.832218138315963,0.167781861684037,0,"basaltic",368.557495117188
835,13.8537000000006,0,0.820695723544957,0.179304276455043,0,"basaltic",350.289093017578
836,14.0373000000006,0,0.812554716690615,0.187445283309385,0,"basaltic",333.93701171875
837,1.10509999999983,0,0.190609935253736,0.809390064746264,0,"granitic",677.275329589844
838,1.2736000000006,0,0.165391833738124,0.834608166261876,0,"granitic",619.767883300781
839,1.43820000000033,0,0.146462967215184,0.853537032784816,0,"granitic",578.122314453125
840,3.6065,0,0.21862622257797,0.78137377742203,0,"granitic",546.310119628906
841,5.25930000000085,0,0.151397501034195,0.848602498965805,0,"granitic",508.027313232422
842,1.79450000000001,0,0.0241306151597222,0.975869384840278,0,"granitic",500.149505615234
843,2.68080000000037,0,0.016152786072857,0.983847213927143,0,"granitic",459.851593017578
844,2.80350000000037,0,0.0154458316048196,0.98455416839518,0,"granitic",424.539886474609
845,8.35200000000079,0,0.108686956684951,0.891313043315049,0,"granitic",389.089385986328
846,8.83070000000033,0,0.102795187497334,0.897204812502665,0,"granitic",365.882598876953
847,9.1883000000008,0,0.0987944954162047,0.901205504583795,0,"granitic",344.3251953125
848,10.1789000000003,0,0.0897900854706483,0.910209914529352,0,"granitic",316.854095458984
849,11.7533000000003,0,0.0822431885090714,0.917756811490928,0,"granitic",296.381713867188
850,1.43389999999965,0,0.402979588729247,0.597020411270753,0,"granitic",668.930603027344
851,1.6235999999999,0,0.355895807020697,0.644104192979303,0,"granitic",614.208679199219
852,1.89510000000002,0,0.30490867620647,0.69509132379353,0,"granitic",578.270629882812
853,4e-04,0,0,1,0,"granitic",348.907287597656
854,1.48520000000031,0,0.0354595788490479,0.964540421150952,0,"granitic",317.022888183594
855,0.802199999999874,0,0.00774225724815314,0.992257742751847,0,"granitic",344.203887939453
856,1.41060000000049,0,0.00550787286391244,0.994492127136087,0,"granitic",546.422180175781
857,0.910099999999605,0,0.703683659570936,0.296316340429064,0,"basaltic",942.019226074219
858,3.6504000000006,0,0.838561185759043,0.161438814240957,0,"basaltic",902.301574707031
859,4.0345000000006,0,0.853930785102208,0.146069214897792,0,"basaltic",870.107971191406
860,4.73440000000108,0,0.875524618218743,0.124475381781257,0,"basaltic",822.909484863281
861,5.45640000000108,0,0.89199540951816,0.10800459048184,0,"basaltic",759.99072265625
862,6.2091000000006,0,0.905088298222753,0.094911701777247,0,"basaltic",667.4580078125
863,6.6480000000006,0,0.911354355068422,0.0886456449315783,0,"basaltic",573.944213867188
864,0.939999999999703,0,1,0,0,"basaltic",830.876586914062
865,1.38860000000018,0,1,0,0,"basaltic",754.376220703125
866,1.9622999999997,0,0.83130134376277,0.16869865623723,0,"basaltic",693.004516601562
867,2.83349999999994,0,0.744815877389123,0.255184122610877,0,"basaltic",626.958129882812
868,3.14389999999994,0,0.710744765193599,0.289255234806401,0,"basaltic",550.290405273438
869,3.32549999999994,0,0.709590344095838,0.290409655904162,0,"basaltic",450.881408691406
870,0.97870000000024,0,0.673404775639237,0.326595224360763,0,"basaltic",969.368591308594
871,2.42180000000036,0,0.868016043404988,0.131983956595012,0,"basaltic",941.526794433594
872,1.11640000000019,0,0.704890596998022,0.295109403001978,0,"basaltic",819.021179199219
873,1.36370000000055,0,0.612641567168779,0.387358432831221,0,"basaltic",755.642517089844
874,2.48850000000008,0,0.335728071186749,0.664271928813251,0,"granitic",689.049194335938
875,2.99489999999984,0,0.278960668185373,0.721039331814627,0,"granitic",621.456420898438
876,3.4006999999996,0,0.245672745360786,0.754327254639214,0,"granitic",568.89892578125
877,4.16440000000031,0,0.200619370172974,0.799380629827026,0,"granitic",517.148376464844
878,4.5443999999996,0,0.183843698870775,0.816156301129225,0,"granitic",469.943603515625
879,4.6746999999996,0,0.178719341379834,0.821280658620166,0,"granitic",424.003997802734
880,0.974700000000098,0,0,1,0,"granitic",553.562316894531
881,1.0948000000001,0,0,1,0,"granitic",423.515502929688
882,1.19139999999999,0,0,1,0,"granitic",355.625701904297
883,23.8818000000002,0,0.112050028167695,0.887949971832305,0,"granitic",328.377990722656
884,24.8044000000006,0,0.107882325825066,0.892117674174934,0,"granitic",312.710998535156
885,25.3665000000006,0,0.10549174551851,0.89450825448149,0,"granitic",296.202209472656
